,0
0,1
1,1
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,0
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,0
419,0
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,0
549,0
550,1
551,1
552,0
553,1
554,0
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,0
598,1
599,1
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,0
640,0
641,1
642,1
643,0
644,1
645,0
646,1
647,1
648,1
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,1
677,1
678,0
679,0
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,1
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
