0,1,2
568,284,0
572,335,0
866,24,0
510,429,0
700,315,0
622,209,0
350,93,0
169,299,0
321,67,0
579,386,0
380,128,0
817,132,0
622,408,0
705,302,0
315,182,0
839,449,0
324,315,0
54,414,0
760,228,0
801,197,0
31,309,0
283,358,0
686,115,0
122,143,0
59,313,0
357,136,0
683,332,0
228,304,0
596,13,0
785,298,0
548,234,0
180,348,0
354,65,0
513,381,0
312,133,0
652,265,0
534,151,0
601,419,0
93,56,0
479,227,0
407,301,0
745,425,0
225,343,0
387,304,0
40,81,0
319,256,0
334,196,0
448,195,0
405,396,0
560,212,0
878,174,0
772,69,0
159,406,0
683,437,0
193,451,0
305,333,0
383,122,0
457,299,0
512,386,0
187,422,0
661,165,0
168,401,0
191,435,0
456,360,0
776,307,0
571,229,0
353,99,0
418,307,0
673,121,0
352,66,0
246,59,0
686,79,0
29,427,0
287,358,0
540,444,0
461,140,0
40,382,0
823,13,0
163,363,0
273,141,0
556,67,0
840,233,0
391,293,0
840,269,0
738,58,0
729,75,0
733,251,0
542,221,0
425,265,0
702,135,0
165,341,0
9,73,0
412,301,0
221,408,0
198,439,0
576,284,0
29,176,0
294,289,0
881,247,0
771,23,0
305,234,0
11,141,0
74,177,0
557,151,0
417,184,0
112,65,0
417,37,0
50,25,0
658,300,0
554,6,0
583,304,0
285,408,0
446,207,0
670,197,0
128,405,0
591,264,0
694,116,0
370,218,0
212,111,0
129,193,0
331,308,0
884,423,0
689,51,0
543,58,0
346,157,0
563,114,0
863,410,0
29,98,0
330,361,0
357,275,0
716,82,0
312,316,0
109,39,0
495,62,0
111,332,0
128,241,0
759,293,0
133,50,0
30,289,0
216,280,0
466,3,0
728,25,0
869,143,0
31,15,0
60,99,0
115,246,0
142,412,0
0,365,0
252,261,0
390,284,0
642,90,0
182,228,0
738,184,0
219,254,0
29,147,0
744,374,0
417,239,0
451,166,0
500,327,0
608,298,0
458,145,0
218,269,0
295,356,0
553,191,0
433,431,0
796,343,0
170,20,0
769,332,0
497,138,0
645,158,0
134,36,0
57,291,0
302,90,0
267,203,0
15,403,0
233,389,0
863,44,0
189,441,0
219,258,0
322,403,0
12,138,0
792,360,0
803,38,0
538,75,0
400,253,0
289,444,0
267,123,0
631,346,0
442,25,0
597,40,0
618,446,0
538,60,0
473,30,0
9,221,0
272,66,0
727,282,0
844,49,0
557,181,0
873,47,0
304,286,0
41,405,0
836,90,0
138,384,0
226,328,0
851,277,0
546,254,0
103,201,0
530,44,0
78,434,0
546,440,0
452,429,0
775,404,0
31,18,0
81,46,0
691,431,0
651,190,0
139,390,0
472,140,0
276,371,0
375,46,0
710,442,0
384,356,0
811,433,0
597,44,0
211,226,0
381,246,0
891,442,0
497,143,0
749,362,0
60,33,0
618,424,0
709,20,0
13,426,0
422,139,0
76,183,0
241,26,0
289,55,0
265,19,0
350,8,0
791,129,0
486,24,0
308,236,0
417,109,0
100,336,0
861,376,0
381,268,0
848,172,0
360,231,0
140,304,0
744,174,0
362,111,0
422,219,0
579,184,0
720,260,0
892,266,0
381,285,0
486,304,0
492,120,0
149,224,0
529,373,0
484,147,0
779,149,0
290,271,0
356,368,0
58,299,0
871,433,0
658,303,0
371,401,0
332,187,0
545,316,0
723,227,0
793,214,0
201,413,0
647,137,0
562,37,0
566,31,0
660,57,0
294,431,0
413,76,0
301,9,0
155,86,0
742,265,0
246,305,0
